Senator,District,Party,distJOIN
Antonio Munoz,1,D,1
William Delgado,2,D,2
Mattie Hunter,3,D,3
Kimberly A. Lightford,4,D,4
Patricia Van Pelt,5,D,5
John J. Cullerton,6,D,6
Heather A. Steans,7,D,7
Ira I. Silverstein,8,D,8
Daniel Biss,9,D,9
John G. Mulroe,10,D,10
Martin A. Sandoval,11,D,11
Steven M. Landek,12,D,12
Kwame Raoul,13,D,13
Emil Jones III,14,D,14
Napoleon Harris III,15,D,15
Jacqueline Y. Collins,16,D,16
Donne E. Trotter,17,D,17
Bill Cunningham,18,D,18
Michael E. Hastings,19,D,19
Iris Y. Martinez,20,D,20
Michael Connelly,21,R,21
Michael Noland,22,D,22
Thomas Cullerton,23,D,23
Kirk W. Dillard,24,R,24
Jim Oberweis,25,R,25
Dan Duffy,26,R,26
Matt Murphy,27,R,27
Dan Kotowski,28,D,28
Julie A. Morrison,29,D,29
Terry Link,30,D,30
Melinda Bush,31,D,31
Pamela J. Althoff,32,R,32
Karen McConnaughay,33,R,33
Steve Stadelman,34,D,34
Dave Syverson,35,R,35
Mike Jacobs,36,D,36
Darin M. LaHood,37,R,37
Sue Rezin,38,R,38
Don Harmon,39,D,39
Toi W. Hutchinson,40,D,40
Christine Radogno,41,R,41
Linda Holmes,42,D,42
Pat McGuire,43,D,43
William E. Brady,44,R,44
Tim Bivins,45,R,45
David Koehler,46,D,46
John M. Sullivan,47,D,47
Andy Manar,48,D,48
Jennifer Bertino-Tarrant,49,D,49
Wm. Sam McCann,50,R,50
Chapin Rose,51,R,51
Michael W. Frerichs,52,D,52
Jason A. Barickman,53,R,53
Kyle McCarter,54,R,54
Dale A. Righter,55,R,55
William R. Haine,56,D,56
James F. Clayborne Jr.,57,D,57
David S. Luechtefeld,58,R,58
Gary Forby,59,D,59
