State,Race name,Town,Time,Number
California,Los Angeles Marathon,Los Angeles,3:44:29,1
Illinois,Chicago Marathon,Chicago,3:18:14,2
Massachusetts,Boston Marathon,Boston,3:43:46,3
Michigan,Detroit Marathon,Detroit,3:20:28,4
Alabama,Rocket City Marathon,Huntsville,3:28:28,5
West Virginia,Marshall University Marathon,Huntington,3:24:19,6
Washington,Bellingham Bay Marathon,Bellingham,3:46:18,7
New York,New York City Marathon,New York City,3:54:52,8
Mississippi,Mississippi Coast Marathon,Waveland,3:22:11,9
Delaware,Seashore Marathon,Rehoboth Beach,3:40:19,10
Florida,Disney World Marathon,Orlando,3:43:46,11
Arizona,Rock N Roll Marathon,Tempe,3:40:16,12
South Carolina,Myrtle Beach Marathon,Myrtle Beach,3:41:59,13
Maryland,B&A Trail Marathon,Severna Park,3:45:11,14
Virginia,Shamrock Marathon,Virginia Beach,3:45:33,15
Oklahoma,A2A Marathon,Ardmore,3:55:20,16
Rhode Island,Gansett Marathon,Narragansett,3:52:26,17
Ohio,Glass City Marathon,Toledo,3:28:29,18
New Mexico,Shiprock Marathon,Shiprock,3:52:55,19
Utah,Ogden Marathon,Ogden,3:47:28,20
Wyoming,Casper Marathon,Casper,3:55:14,21
Minnesota,Grandma's Marathon,Duluth,3:46:42,22
Wisconsin,HFM Maritime Marathon,Manitowoc,3:52:53,23
Oregon,Foot Traffic Flat Marathon,Portland ,3:45:19,24
Nevada,ET Full Moon Midnight Marathon,Rachel,3:54:31,25
Alaska,Moose's Tooth Marathon,Anchorage,3:47:16,26
Colorado,ADT Marathon,Colorado Springs,3:42:22,27
Pennsylvania,Erie Marathon,Erie,3:43:07,28
Nebraska,Omaha Marathon,Omaha,3:47:23,29
New Hampshire,Clarence DeMar Marathon,Keene,3:54:08,30
Connecticut,Hartford Marathon,Hartford,3:46:10,31
Iowa,Des Moines Marathon,Des Moines,3:44:15,32
Indiana,Monumental Marathon,Indianapolis,3:44:51,33
North Carolina,OBX Marathon,Outer Banks,3:51:53,34
Arkansas,White River Marathon,Cotter,3:54:45,35
Tennessee,St. Jude Marathon,Memphis,3:55:15,36
Louisiana,Louisiana Marathon,Baton Rouge ,3:38:32,37
Georgia,Albany Marathon,Albany,3:41:12,38
Hawaii,Big Island Marathon,Hilo,3:47:34,39
Missouri,Go! Marathon,St. Louis,3:43:28,40
Kansas,Eisenhower Marathon,Abilene,3:52:15,41
Kentucky,Derby Festival Marathon,Louisville,3:42:48,42
New Jersey,New Jersey Marathon,Long Branch,3:48:54,43
North Dakota,Fargo Marathon,Fargo,3:54:27,44
Vermont,Vermont City Marathon,Burlington ,3:47:18,54
Maine,Bay of Fundy Marathon,Lubec,3:44:26,46
Montana,Missoula Marathon,Missoula,3:43:04,47
Idaho,Pocatello Marathon,Pocatello,3:42:47,48
South Dakota,Sioux Falls Marathon,Sioux Falls,3:58:31,49
District of Columbia,Marine Corps Marathon ,Washington,3:48:06,50
Texas,Houston Marathon,Houston,3:45:00,51
