RCDTS,District Name/ School Name,districtNAME,Enroll13,home,LAT,LON,,,,
340491140022003,Lotus Elem. School,Fox Lake GSD 114,574,13.8,42.429226,-88.18238,,,,
050160210042003,Eugene Field Elem. School,Wheeling CCSD 21,681,7.0,42.140668,-87.944892,,,,
310450460222027,Oakhill Elem. School,SD U-46,503,6.2,42.021904,-88.174122,,,,
050160210042015,Walt Whitman Elem. School,Wheeling CCSD 21,650,5.8,42.137366,-87.909472,,,,
050160210041007,Jack London Middle School,Wheeling CCSD 21,691,5.6,42.138974,-87.942166,,,,
310450460222011,Channing Memorial Elem. School,SD U-46,657,5.2,42.038502,-88.273375,,,,
050160210042007,Joyce Kilmer Elem. School,Wheeling CCSD 21,548,4.6,42.141794,-87.965178,,,,
050160590042018,Rupley Elem. School,Comm Cons SD 59,439,4.6,42.022074,-87.986059,,,,
310453000262016,Meadowdale Elem. School,CUSD 300,417,4.3,42.12463,-88.256477,,,,
050160210041006,Holmes Middle School,Wheeling CCSD 21,776,4.3,42.135228,-87.914996,,,,
050160210042014,Mark Twain Elem. School,Wheeling CCSD 21,565,4.1,42.129846,-87.932232,,,,
310450460222036,Washington Elem. School,SD U-46,473,3.8,42.033951,-88.298556,,,,
190220200022003,Greenbrook Elem. School,Keeneyville SD 20,488,3.7,41.968029,-88.136986,,,,
310451290222012,Nicholson Elem. School,Aurora West USD 129,327,3.7,41.73386,-88.339512,,,,
190222040262002,Longwood Elem. School,Indian Prairie CUSD 204,468,3.6,41.789508,-88.211532,,,,
