Location,Total,Lat,Long
Chicago-O'Hare,19.3,-87.907713,41.974266
Midway Airport,19.2,-87.752075,41.78644
Aurora,15,-88.317534,41.759936
Barrington,14,-88.133219,42.151444
Elgin,14,-88.284092,42.039929
Harvard,13,-88.617266,42.423844
Lisle,16,-88.074321,41.807959
Mundelein,14,-88.005504,42.270111
Park Forest,18,-87.685677,41.485248
Spring Grove,14,-88.242874,42.446244
Harvard,15,-88.616923,42.42359
Roselle,18,-88.078903,41.983077
Elk Grove Village,18,-87.981166,42.005717
Morton Grove,16.5,-87.783044,42.042043
Westchester,20,-87.889003,41.849599
Sauk Village,20,-87.570318,41.493767
Highwood,18.3,-87.812685,42.204514
